"Questions","Answers "
"What is the process of DNA replication?","DNA replication is a process that occurs during cellular division where two identical molecules of DNA are created from a single molecule of DNA. As a semiconservative process, a single molecule containing two strands of DNA in double helix formation is separated, where each strand serves as a template for the new DNA molecules."
"How do you say ""hello"" in Spanish?","Hola is the Spanish equivalent to “hello,” and we’re pretty sure you’ve already heard it many times before."
"What are the benefits of exercise?","Exercise Boosts Physical, Mental, and Emotional Health. But the benefits of physical activity go far beyond just physical fitness. Increasingly, more and more research is showing that working out regularly can boost other aspects of your health as well, including cognitive function and emotional well-being."
"How do you bake a chocolate cake?","Pour batter into a greased and floured 13x9-in. baking pan. Bake at 350° until a toothpick inserted in center comes out clean, 35-40 minutes. Cool completely on a wire rack. When cake is cool, dust with confectioners' sugar or top with your favorite frosting."
"What is the population of New York City?","New York City is the most populous city in the United States, with an estimated 8,804,190 people living in the city, according to the 2020 U.S. Census [19] (up from 8,175,133 in 2010; 8.0 million in 2000; and 7.3 million in 1990)."
"What are the symptoms of COVID-19?","The most common symptoms of COVID-19 include fever or chills, dry cough, shortness of breath, fatigue, muscle or body aches, headache, loss of taste or smell, sore throat, congestion or runny nose, nausea or vomiting, and diarrhea."
"What are the major causes of climate change?","Scientists attribute the global warming trend observed since the mid-20thcentury to the human expansion of the ""greenhouse effect"" — warming that results when the atmosphere traps heat radiating from Earth toward space. Life on Earth depends on energy coming from the Sun. "
"How does the stock market work?","A stock is a financial instrument that represents ownership in a company or corporation and a proportionate claim on its assets and earnings. Stocks are also called shares or equity. "
"How does photosynthesis work?","Photosynthesis is the process by which plants convert light energy into chemical energy in the form of sugars123. During photosynthesis, plants take in carbon dioxide and water from the air and soil. Within the plant cell, the water is oxidized, meaning it loses electrons, while the carbon dioxide is reduced, meaning it gains electrons. This transforms the water into oxygen and the carbon dioxide into glucose1."
"What is the capital of France?","Paris is the capital city of France. Yhe city has an approx area of 41 square miles."
"How do electric cars work?","When people refer to electric vehicles, they’re usually talking about entirely electric cars powered by a battery. These are sometimes called battery electric vehicles (BEVs). "
"What are the effects of deforestation on the environment?","It has adverse effects on plants, animals, soil, water, , air, humans, food security and even rain."
"How does the human respiratory system function?","The human respiratory system is the network of organs and tissues that help you breathe1. It includes your airways, lungs and blood vessels1. The respiratory system transports oxygen from the air we breathe, through a system of tubes, into our lungs and then diffuses it into the bloodstream, whilst carbon dioxide makes the opposite journey23. The muscles that power your lungs are also part of the respiratory system1. The respiratory system also expels carbon dioxide (CO 2)"
"What are the steps to solve a quadratic equation?","To solve a quadratic equation, you can put all terms on one side of the equal sign, factor the left-hand side, set each factor equal to zero, solve for the variable x, and check the answer by inserting it in the original equation."
"What are the major causes of air pollution?","ir pollution is caused by solid or liquid particles and certain gases suspended in the air. These particles and gases can come from car and truck exhaust, factories, dust, pollen, mold spores, volcanoes and wildfires"
"How does the human digestive system work?","The digestive tract (or gastrointestinal tract) is a long twisting tube that starts at the mouth and ends at the anus. It is made up of a series of muscles that coordinate the movement of food and other cells that produce enzymes and hormones to aid in the breakdown of food."
"What is the meaning of life?","Researchers who study meaning in life have broken the concept into three facets: coherence (the feeling that life makes sense), purpose (having and working toward goals), and mattering (the sense that one’s life has value and makes a difference)."
"How do airplanes fly?","Airplanes fly by using thrust and lift1. Thrust is the forward motion provided by a propeller or jet engine1. Lift is the upward force created by the movement of air across the wings of the plane2. When the lift is greater than the force of gravity pulling the plane down, the plane can fly2."
"What is the history of the Internet?","The Internet is a system architecture that has revolutionized communications and methods of commerce by allowing various computer networks around the world to interconnect1. It emerged in the United States in the 1970s but did not become visible to the general public until the early 1990s1. The history of the Internet has its origin in information theory and the efforts to build and interconnect computer networks that arose from research and development in the United States and involved international collaboration2. Research into packet switching began as early as the 1960s3"
"What are the benefits of meditation?","Meditation reduces stress, controls anxiety, promotes emotional health, enhances self - awareness etc. "
"How does the human brain work?","Brain is the mass of nerve tissue in the anterior end of an organism. The brain integrates sensory information and directs motor responses in higher vertebrates it is also the centre of learning. The brain receives information through our five senses: sight, smell, touch, taste, and hearing - often many at one time. It assembles the messages in a way that has meaning for us, and can store that information in our memory."
"What are the different types of renewable energy sources?","Renewable energy is energy that has been derived from earth’s natural resources that are not finite or exhaustible, such as wind and sunlight. Renewable energy is an alternative to the traditional energy that relies on fossil fuels, and it tends to be much  less harmful to the environment. The several types of renewable resources of energy are - Solar, Wind, Hydroelectric, Geothermal, Biomass."
